_id,name,label
1460952715116,Mr.Z,LOVEiS
1460974349637,Better Weather,BEC TERO MUSIC
1461137217082,Abuse The Youth,BEC TERO MUSIC
1461314698370,THEBOYKOR,SPICY DISC
1477469640114,เจมส์ จิรายุ,BEC TERO MUSIC
1460969285104,สุนารี ราชสีมา,BEC TERO MUSIC
1460978954866,Sixty Miles,BEC TERO MUSIC
1476851842465,Tor+ Saksit,BEC TERO MUSIC
1460952715104,3AM,LOVEiS
1460972247747,Sin,BEC TERO MUSIC
1461560243567,SUBURBIAN,SPICY DISC
1460954848209,Slot Machine,BEC TERO MUSIC
1461139847133,Sugar Eyes,BEC TERO MUSIC
1461569529183,GANESHA,SPICY DISC
1461567816218,BALL JARULOVE,SPICY DISC
1492679190611,โปเต้ (Potay),
1498040606480,THE JUKKS,Smallroom
1460952715109,BoyTrai,SPICY DISC
1461311652565,Ten To Twelve,What the duck
1493798343130,Kidnappers,SPICY DISC
1496645864615,zommarie,
1490846971654,ฟักกลิ้ง ฮีโร่,
1500107436162,BEST NATTHASIT,BOXX MUSIC
1461319112985,MILD,SPICY DISC
1461313036739,โอปอ ประพุทธ์,What the duck
1489561450511,คาราบาว,Warner Music Thailand
1460952715119,LIBERTY,LOVEiS
1461566259860,GOOD SEPTEMBER,SPICY DISC
1494818639822,Cat Radio,
1492658911689,MEAN,LOVEiS
1460952715117,Knot Varut,LOVEiS
1461558076838,KOR NOTAPOL,SPICY DISC
1494819885787,2dox,
1496430463350,Superbaker,
1493784879293,The Parkinson,SPICY DISC
1493797188535,The Ghost Cat,SPICY DISC
1460968149798,Shopping Bag,BEC TERO MUSIC
1460979180737,Scrubb,BEC TERO MUSIC
1461317377190,WALRUS,SPICY DISC
1478769447656,TWO PILLS AFTER MEAL,Smallroom
1490943161280,Tom Room39,LOVEiS
1460962465461,กวาง อาริศา,BEC TERO MUSIC
1461138002430,Oh,BEC TERO MUSIC
1478767770717,BARBIES,Smallroom
1460954181839,ชมพู่ ทับทิม,BEC TERO MUSIC
1461140353333,Vertical Mind,BEC TERO MUSIC
1460953406857,Chilling Sunday,BEC TERO MUSIC
1461051424654,Electric Neon Lamp,BEC TERO MUSIC
1492676888987,Pat Vorapat,
1492680159444,แบงก์ SloJoe,
1460952715105,ปุ๊ อัญชลี,LOVEiS
1460952715108,artist_1,LOVEiS
1496744822261,ยุ้ย ปัทมวรรณ เค้ามูลคดี,
1461141672951,Pango,What the duck
1478770079804,TATTOO COLOUR,Smallroom
1489979034716,Patrick Wave,
1496231757302,Triumphs kingdom,LOVEiS
1461141233666,สิงโต นำโชค,What the duck
1460952715125,LOVEiS,LOVEiS
1494928615959,SloJoe,
1460952715118,ROOM39,LOVEiS
1460952715112,P.O.P,LOVEiS
1460973078922,เบน ชลาทิศ,BEC TERO MUSIC
1478770323268,POLYCAT,Smallroom
1493782742122,Wan Thanakrit,SPICY DISC
1500006537193,SEASON FIVE,ME RECORDS
1460952715120,SHINING STAR,LOVEiS
1478771200711,SLUR,Smallroom
1496746357030,มาเรียม b5,
1493798075219,Morning Soon,SPICY DISC
1492587038515,ฌอน บูรณะหิรัญ,
1493796180038,The Rube,SPICY DISC
1500368365818,nanoob napian,
1460962962896,Bedroom Audio,BEC TERO MUSIC
1460977803028,สมชาย นิลศรี TGT,BEC TERO MUSIC
1461140788862,Data,BEC TERO MUSIC
1461318826126,BURIN BOONVISUT,SPICY DISC
1460952715107,7thSCENE,LOVEiS
1460975442368,Savina,BEC TERO MUSIC
1461138885190,เกรซ ริยา TGT,BEC TERO MUSIC
1492681822550,Palm SloJoe,
1460952715373,BEC TERO MUSIC,BEC TERO MUSIC
1461138687410,Armchair,BEC TERO MUSIC
1460952715115,ก้อ P.O.P,LOVEiS
1460973826300,Fivera,BEC TERO MUSIC
1461315045326,THE MESSENGER,SPICY DISC
1492679836887,Gunn guntapich,
1489566905147,testNgi,
1494817677247,KAAN,
1496144121013,FanSter Content,
1460952715110,ตู่ ภพธร,LOVEiS
1460952715122,น้อย วงพรู,LOVEiS
1498471709330,INK WARUNTORN,BOXX MUSIC
1493183232694,Chanudom,What the duck
1497859418319,The TOYS,What the duck
1460952715106,a.r.t.,LOVEiS
1461569825995,LA ONG FONG,SPICY DISC
1478768651627,THE RICHMAN TOY,Smallroom
1460952715123,โอ๋ ธีร์ ไชยเดช,LOVEiS
1461320604723,HELMETHEADS,SPICY DISC
1461317604625,NAP A LEAN,SPICY DISC
1495186665305,Telex Telexs,Wayfer Records
1460952715111,นภ พรชำนิ,LOVEiS
1460952715121,บี พีระพัฒน์,LOVEiS
1493175953074,Hers,
1500004715377,MAX JENMANA,BOXX MUSIC
1489560197545,ปู พงษ์สิทธิ์,
1498472223284,EARTH PATRAVEE (เอิ๊ต ภัทรวี),Muzikmoverecords
1495187856111,Boom Boom Cash,Wayfer Records
1460957437830,ปราโมทย์ วิเลปะนะ,BEC TERO MUSIC
1460976158393,น้องเกล โสพิชา,BEC TERO MUSIC
1461139161133,แดน วรเวช,BEC TERO MUSIC
1461570216651,POLYCATS,SPICY DISC
1478771215836,SOMKIAT,Smallroom
1492680878151,ไก่ สุธี,
1460977263931,Magenta,BEC TERO MUSIC
1461140580530,จุ๋ย จุ๋ย,BEC TERO MUSIC
1492675616431,Palm Pawee,
1460973337264,Fellow Fellow,BEC TERO MUSIC
1460952715103,BOYdPOD,LOVEiS
1460963744275,Belle Nuntita,BEC TERO MUSIC
1461567188749,GROOVE RIDERS,SPICY DISC
1461559852363,YOKEE PLAYBOY,SPICY DISC
1494997862363,FanSter,
1493181892798,Brown Flying,
1460952715124,เต้ ภูริต,LOVEiS
1460952715114,Lex T-Bone,LOVEiS
1461319714091,SQWEEZ ANIMAL,SPICY DISC
1493183578581,De Flamingo,What the duck
1495013376966,จูนจูน,
1460952715113,THE BEGINS,LOVEiS
1461142910966,Pae Arak,What the duck
1478770652940,SUMMER STOP,Smallroom
1495187266984,My Life as Ali Thomas,Warner Music Thailand
1460952715102,BOYd-NOP,LOVEiS
1461147331343,Musketeers,What the duck
1490855608364,Joey Boy,
1478769685453,GREASY CAFÉ,Smallroom
1494645790714,ต๋อง อภิชา,LOVEiS
1460952715101,บอย โกสิยพงษ์,LOVEiS
1461314413951,ชาติ สุชาติ,What the duck
1493797533823,Rooftop,SPICY DISC
1493189227710,2Pcs,What the duck
1478769196096,GENE KASIDIT,Smallroom
1490845414391,Oui Buddhabless,
1499744373766,NEKO,
