_id,name,_desc,condition,coin,exp,artistid,sponsorid,num_of_action,num_of_bonus,bonus_exp,bonus_coin,fromdtm,todtm
1494489957935,Love กันจริงจัง,กด Love Video ใดก็ได้ ของศิลปินท่านใดก็ได้ รับไปเลย 50 Coins + 100 Exp,ดู video ของศิลปินที่ชื่นชอบ แล้วกด Love จำนวน 5 คลิป,50,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
ACCINFOMISSION,ระบุข้อมูลส่วนตัว,ผู้ใช้งานทำการกรอกข้อมูลส่วนตัวให้ครบ พร้อมรับ 10 Coin,กรอกข้อมูลส่วนตัวให้ครบ รับ Coin ไปเลย,10,0,COMMON,,1,0,0,,2016-10-11 01:23:32,2050-12-31 00:00:00
1494491526872,Share กระหน่ำ,เข้าหน้า media เพื่อดูและแชร์ video ของศิลปินท่านใดก็ได้ จำนวน 5 video รับไปเลย 50 Coins + 100 Exp,ดู video ของศิลปินที่ชื่นชอบ แล้วกด Share จำนวน 5 คลิป,50,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
1494751819406,Brainwash Playlist,ฟังเพลง อ่อนแอก็แพ้ไป วนครบ 10 รอบ,ฟังเพลง อ่อนแอก็แพ้ไป วนครบ 10 รอบ,100,100,1492658911689,1494388191860,10,0,0,0,2017-05-14 00:00:00,2017-05-17 00:00:00
1496148896846,อยากรู้จักกัน,มาตอบคำถามเกี่ยวกับคุณ 18 ข้อ,อยากรู้จักคุณจัง มาตอบคำถามรับ coin กับ exp กันเถอะ,100,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-06-30 23:59:00
1496983202899,Cat Radio Quiz #4,มาตอบคำถามชุดที่ 4 กับคำถาม 4 ข้อเหมือนเคย ตอบถูกหมดรับไปเลย 100 coins! กับ 100 XP!  พิเศษ 10 คนแรกรับไปเลย Coin + XP คูณ 2,คุณรู้จริงเรื่อง Cat Radio แค่ไหน? ภาค 4 !,100,100,,1494911606032,1,10,100,100,2017-06-11 10:00:00,2017-07-01 23:59:00
1497325206822,Loveis Fans Quiz #1,ตอบถูกหมดรับไปเลย 200 coins 200 XP ( 10 คนแรกมีโบนัสด้วยนะจ๊ะ อย่ารอช้า!! ),ใครคิดว่ารู้จริงเรื่องค่ายเลิฟอีส มาตอบคำถาม 5 ข้อนี้กัน!! โอกาสตอบมีรอบเดียว!,200,200,,1495172907091,1,10,100,100,2017-06-13 12:00:00,2017-06-19 23:59:00
1497926686189,Loveis Musical Quiz #1,ทายว่าดนตรีท่อนนี้มาจากเพลงใด ตอบถูกหมด3ข้อรับไปเลย 100 coins 100 XPs  ด่วน! 200 คนเท่านั้น!!!,เมื่อฟังดนตรีท่อนสั้นๆจะรู้ไหมนะว่ามาจากเพลงอะไร :),100,100,,1495172907091,1,0,0,0,2017-06-20 12:00:00,2017-06-25 23:59:00
1498107395489,ฟังเพลงของ ZomMarie ลุ้นรับสิทธิ์ FanSter Date,ฟังเพลงของ ZomMarie ให้ครบ 5 เพลง ลุ้นรับสิทธิ์เป็นผู้โชคดี FanSter Date   with ZomMarie และได้ฟัง ZomMarie ร้องเพลงซิงเกิ้ลใหม่ “ช่วงเวลา” ครั้งแรกก่อนใครที่บูธ FanSter เวลา 14.00น. ในงาน CatFoodival  วันที่ 1 กรกฏาคมนี้   ด่วน!! 500 คนเท่านั้นที่จะเล่น Mission นี้ได้ !!! ช้าหมดอดนะคะ ^^,ฟังเพลงของ ZomMarie ครบ 5 เพลง,100,100,1496144121013,1494388191860,5,0,0,0,2017-06-22 12:00:00,2017-06-28 12:00:00
1498239229913,ฟังเพลงของ NAP A LEAN ลุ้นรับสิทธิ์ FanSter Date,ดู MV หยุดเลยอย่าร้อง ของ NAP A LEAN เพื่อลุ้นเป็นผู้โชคดีได้เดทแบบตัวต่อตัวและเรียนอู้คำเมืองกับ NAP A LEAN ที่บูธ FanSter ในงาน Cat Foodival 1 กค.นี้   จำกัดจำนวนคนเล่น mission นี้แค่ 500 คนเท่านั้น!!  ช้าหมด! อดได้เป็น 1 ใน 10 คนผู้โชคดีที่ได้ FanSter Date กับ NAP A LEAN นะเจ้า :),ดู MV เพลง หยุดเลยอย่าร้อง พร้อมตอบคำถาม,100,100,,1494388191860,1,0,0,0,2017-06-24 12:00:00,2017-06-28 12:00:00
1498802539453,Fanster Quiz Daily #3,ทุกวันเที่ยงตรงเข้ามาตอบคำถาม Fanster Quiz Daily,ทุกวันเที่ยงตรงเข้ามาตอบคำถามกัน มีเพียงหนึ่งข้อ ตอบถูกรับเลย 50 coins 50 XPs ใครไวตอบถูกเร็ว10คนแรกรับโบนัสพิเศษ 100 coins 100 XPs ปล: ความยากจะค่อยๆเพิ่มขึ้นตามวันของสัปดาห์ :),50,50,,1494388191860,1,10,100,100,2017-06-30 12:00:00,2017-07-01 23:59:00
1498820415366,ล่า QR code 1,เตรียมตัวให้พร้อม มองหาป้าย QR ยักษ์ที่จะปรากฎสักจุดในงาน Cat Foodival Scan ทันที รับไปเลย 500 coins,ตามหา QR Code รอบแรกให้เจอเพื่อรับ Coin,500,0,,1494388191860,1,0,0,0,2017-07-01 14:00:00,2017-07-01 14:30:00
1498820712878,ล่า QR code 2,เตรียมตัวให้พร้อม! ห้าโมงสี่สิบห้าวันนี้ที่หน้าเวที Workshop มองหาป้าย QR ยักษ์ที่จะปรากฎสักจุดในงาน Cat Foodival Scan ทันที รับไปเลย 500 coins,ตามหา QR Code รอบที่ 2 ให้เจอเพื่อรับ Coin,500,0,,1494388191860,1,0,0,0,2017-07-01 17:45:00,2017-07-01 19:00:00
1494492390625,ชม content สุดพิเศษ,ไป Unlock Exclusive พร้อมดู Video Exclusive จนจบ 1 clip รับไปเลย 50 Coins + 100 Exp,ดู Video exclusive content จบ 1 clip,50,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
1494567834502,ฟังเพลงสุดเพราะจาก LOVEiS,ฟังเพลงจากค่าย LOVEiS จนจบ playlist รับไปเลย 50 coin + 100 exp,ฟังเพลงจากค่าย LOVEiS จนจบ playlist 10 เพลง,50,100,1460952715125,1494388191860,10,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
1496373772993,ฟัง Playlist - คัดเลือกโดยดีเจสอง,มาฟังเพลง 10 เพลงที่คัดเลือกโดยดีเจ สอง พาราด็อก จนจบ playlist ง่ายๆก็ได้ทั้ง coin ทั้ง xp,ฟังเพลง10เพลงที่คัดเลือกโดยดีเจ สอง พาราด็อก จนจบ playlist,50,100,1478771200711,1494911606032,10,0,0,0,2017-06-02 00:00:00,2017-06-30 23:59:00
1494694009623,Check-in at Central Bangna,ง่ายๆ เพียง check-in ที่ central world บน app FanSter พิเศษ 10 คนแรกรับ coin และ XP 2 เท่า ทันที,check-in ที่ central world บน app FanSter,200,100,,1494693587085,1,10,100,200,2017-06-03 11:00:00,2017-06-30 18:00:00
1495627608910,มารู้จักกันให้มากกว่านี้,มาตอบคำถาม 24 คำถาม เพื่อรู้จักกันให้มากกว่านี้ ตอบครบทุกคำถามรับไปเลย 100 coins + 100 Exp,มาตอบคำถาม 24 คำถาม เพื่อรู้จักกันให้มากกว่านี้,100,100,,1494388191860,1,0,0,0,2017-05-24 00:00:00,2017-05-30 00:00:00
1495630391148,ฟังเพลงอ่อนแอก็แพ้ไป เวอร์ชั่นย้อนกลับ 10 รอบ,พบกับเวอร์ชั่นพิเศษของเพลง อ่อนแอก็แพ้ไป ดูสิว่าใครจะแพ้ไปก่อนครบ 10 รอบ ฟังวนไปจ้า,พบกับเวอร์ชั่นพิเศษของเพลง อ่อนแอก็แพ้ไป ดูสิว่าใครจะแพ้ไปก่อนครบ 10 รอบ,100,100,1494997862363,1494388191860,10,0,0,0,2017-05-24 00:00:00,2017-05-30 00:00:00
1495629939569,ฟังเพลงโปรดลงโทษฉัน เวอร์ชั่นย้อนกลับ 10 รอบ,ฟังเพลง โปรดลงโทษ (กระทืบ) ฉัน เวอร์ชั่นพิเศษ ให้ครบ10รอบ นี่ไม่ใช่การลงโทษนะ ฟังวนไปจ้า,ฟังเพลง โปรดลงโทษ (กระทืบ) ฉัน เวอร์ชั่นพิเศษ ให้ครบ10รอบ นี่ไม่ใช่การลงโทษนะ,100,100,1494997862363,1494388191860,10,0,0,0,2017-05-24 00:00:00,2017-05-30 00:00:00
1495171823195,Check-in at Central WestGate,ง่ายๆ เพียง check-in ที่ Central WestGate บน app Fanster จำกัด 100 คนแรกเท่านั้น!! พิเศษ 10 คนแรกรับ coin และ XP 2 เท่า ทันที,เพียง check-in ที่ Central WestGate บน app Fanster จำกัด 100 คนแรกเท่านั้น!!,200,100,,1494693587085,1,10,100,200,2017-06-03 11:00:00,2017-06-30 18:00:00
1496481490140,Check-in ที่ BTS สยาม,แวะไป check-in ที่ BTS สยามแล้วรับไปเลย 100 coins ง่ายมั่กๆ,เดินทางไปหาแฟนอยู่หรือเปล่า แวะไป check-in ที่ BTS สยามกันเถอะ,100,100,,1494388191860,1,0,0,0,2017-06-03 00:00:00,2017-06-10 23:59:00
1497005839901,Cat Radio Quiz #5,มาตอบคำถามชุดที่ 5 กับคำถาม 4 ข้อเหมือนเคย ตอบถูกหมดรับไปเลย 100 coins! กับ 100 XP!   พิเศษ 10 คนแรกรับไปเลย Coin + XP คูณ 2,คุณรู้จริงเรื่อง Cat Radio แค่ไหน? ภาค 5 !,100,100,,1494911606032,1,10,100,100,2017-06-12 10:00:00,2017-07-01 23:59:00
1497336819682,Loveis Fans Quiz #1,ตอบถูกหมดรับไปเลย 200 coins 200 XP ( 10 คนแรกมีโบนัสด้วยนะจ๊ะ อย่ารอช้า!! ),ใครคิดว่ารู้จริงเรื่องค่ายเลิฟอีส มาตอบคำถาม 5 ข้อนี้กัน!! โอกาสตอบมีรอบเดียว!,200,200,,1495172907091,1,10,100,100,2017-06-13 16:00:00,2017-06-19 23:59:00
1498118444341,BoydKo Musical Quiz #1,ฟังท่อนสั้นๆของเพลงแล้วทายว่ามาจากเพลงอะไร ทายถูกหมดรับไปเลย 100 coins 100 XPs รีบเล่นด่วน เพราะ Mission นี้จำกัดจำนวนคนเล่นแค่ 200 คนเท่านั้น!  พิเศษ! 10 คนแรกที่ทำ mission สำเร็จจะได้รับโบนัสอีก 100 coins 100 XPs ด้วย :),ท่อนสั้นๆนั้นมาจากเพลงอะไร? ตอบถูกรับไปเลยทั้ง coin ทั้ง xp,100,100,,1495172907091,1,10,100,100,2017-06-22 18:00:00,2017-06-29 11:59:00
1498212249886,ดู MV เพลง ก่อนฤดูฝน แล้วตอบคำถาม,ดู MV แล้วตอบคำถามลุ้นเป็นผู้โชคดี 10 ท่านที่จะได้ฟัง The Toys สอนแรพที่บูธแฟนสเตอร์ในงานCat Foodival วันที่1 กค. เวลา 15:00 หรือชิงโชครับCDซิงเกิ้ลเพลง ก่อนฤดูฝน พร้อมลายเซ็น 5 รางวัล!,ตอบคำถามเกี่ยวกับ MV ได้ทั้ง coin & xp แถมยังลุ้นรับรางวัลจาก The Toys อีกด้วย!,100,100,,1498211387588,1,0,0,0,2017-06-23 19:00:00,2017-06-28 12:00:00
1498708056774,Fanster Quiz Daily #2,ทุกวันเที่ยงตรงเข้ามาตอบคำถาม Fanster Quiz Daily,ทุกวันเที่ยงตรงเข้ามาตอบคำถามกัน มีเพียงหนึ่งข้อ ตอบถูกรับเลย 50 coins 50 XPs ใครไวตอบถูกเร็ว10คนแรกรับโบนัสพิเศษ 100 coins 100 XPs ปล: ความยากจะค่อยๆเพิ่มขึ้นตามวันของสัปดาห์ :),50,50,,1494388191860,1,10,100,100,2017-06-29 12:00:00,2017-06-30 11:59:00
1498807524093,Fanster Quiz Daily #4,ทุกวันเที่ยงตรงเข้ามาตอบคำถามกัน มีเพียงหนึ่งข้อ ตอบถูกรับเลย 50 coins 50 XPs ใครไวตอบถูกเร็ว10คนแรกรับโบนัสพิเศษ 100 coins 100 XPs ปล: ความยากจะค่อยๆเพิ่มขึ้นตามวันของสัปดาห์ :),ทุกวันเที่ยงตรงเข้ามาตอบคำถาม Fanster Quiz Daily,50,50,,1494388191860,1,10,100,100,2017-07-01 12:00:00,2017-07-02 11:59:00
1494931316120,ฟังเพลง โปรดลงโทษ (กระทืบ) ฉัน 10 รอบ,ฟัง brainwash playlist เพลง โปรดลงโทษ (กระทืบ) ฉัน 10 รอบ,ฟัง brainwash playlist เพลง โปรดลงโทษ (กระทืบ) ฉัน 10 รอบ,100,100,1494928615959,1494388191860,10,0,0,0,2017-05-16 00:00:00,2017-05-31 00:00:00
1494693840618,Check-in at Central World,ง่ายๆ เพียง check-in ที่ central world บน app FanSter พิเศษ 10 คนแรกรับ coin และ XP 2 เท่า ทันที,check-in ที่ central world บน app FanSter,200,100,,1494693587085,1,10,100,200,2017-05-30 00:00:00,2017-06-30 23:59:00
1494492691789,แลกของรางวัล ทันใจ,แลกของรางวัลเพียงแค่ 1 ครั้งก็รับไปเลย 50 Coins + 100 Exp,นำ coin มา redeem reward อะไรก็ได้ แล้วรับ coin เป็นรางวัลทันที,50,100,,1494388191860,1,0,0,0,2017-05-11 00:00:00,2017-05-30 00:00:00
1496665430017,บุกครัวบ้าน วี วิโอเล็ต แล้วตอบคำถามให้ถูก!!,ตั้งใจดูดีๆนะ เพราะส่งคำตอบได้แค่ครั้งเดียวเท่านั้น!!! ตอบถูกหมดรับไปเลย 200 coins กับ 200 XP,ดูคลิปบุกครัวบ้านวี วิโอเล็ต แล้วตอบคำถาม ด่วน 200 คนเท่านั้น!,200,200,,1494911606032,1,0,0,0,2017-06-05 00:00:00,2017-06-30 23:59:00
1496977386543,Cat Radio Quiz #2,มาตอบคำถามชุดที่ 2 กันอีก4ข้อ ตอบถูกหมดรับไปเลย 100 coins! กับ 100 XP!  พิเศษ 10 คนแรกรับไปเลย Coin + XP คูณ 2,คุณรู้จริงเรื่อง Cat Radio แค่ไหน? ภาค 2 ! ย้ำอีกครั้ง โอกาสตอบมีเพียงครั้งเดียวเท่านั้น!,100,100,,1494911606032,1,10,100,100,2017-06-09 00:00:00,2017-07-01 23:59:00
1497026488330,ฟังเพลงใหม่จาก FanSter Stars!,ฟังก่อนได้ Coin ก่อน จำกัดแค่ 500 คนเท่านั้น! ฟังช้าระวัง Mission Ended ก่อนไม่รู้นะ :),ฟัง playlist เพลงใหม่ศิลปินแฟนสเตอร์ 5 คน 5 เพลง รับไปเลย 100 Coin 100 XP!!,100,100,1460952715109,1494388191860,5,0,0,0,2017-06-10 08:00:00,2017-06-17 00:00:00
1497496302604,ชวนเพื่อนมารู้จักแฟน,ชวนเพื่อน 2 คนมาเล่น FanSter แล้วแจ้งชื่อใน Facebook ของเพื่อนให้เราทราบ (ระวังอย่าสะกดผิดนะ) แค่นั้นก็ได้สิทธิลุ้นรับรางวัลนั่งฟังรายการสดๆในห้องส่งกับดีเจจูนจูนและวีวี และผ้ากันเปื้อน FanSter Cat Foodival อีก 20 รางวัลด้วย  ประกาศผลผู้โชคดี วันอาทิตย์ที่ 18 มิย. หกโมงเย็น - ผู้โชคดีที่ได้นั่งฟังรายการคนขอแมวสดๆในห้องจัด 30 นาทีกับดีเจจูนจูนและวีวี วันศุกร์ที่ 30 มิย. ตอนเที่ยง - ผู้โชคดีที่ได้รับผ้ากันเปื้อน FanSter Cat Foodival  ปล : เพื่อนทั้ง2ที่ชวนมาจะต้องเข้าใช้ FanSter ผ่าน login with Facebook ก่อนวันประกาศผลด้วยนะ คุณจึงจะมีสิทธิ์ลุ้นรับรางวัล,ชวนเพื่อนมาเล่น FanSter  แล้วลุ้นรับรางวัล,100,100,,1494388191860,1,0,0,0,2017-06-15 10:00:00,2017-06-23 18:00:00
1497691088373,ดูจูนจูนและสอง พาราด็อกซ์บุกครัว O'CHIX แล้วตอบคำถาม,ตั้งใจดูให้ดี ตอบคำถามได้แค่ครั้งเดียวเท่านั้นนะ,ดูคลิปแล้วตอบคำถาม ถูกหมดรับไปเลย 200 coins 200 XP!,200,200,,1494911606032,1,0,0,0,2017-06-17 00:00:00,2017-06-25 00:00:00
1498449903708,ฟังเพลงของ MEAN ลุ้นรับสิทธิ์ Fanster Date,ลุ้นรับสิทธิ์ FanSter Date แล้วตอบคำถาม เพื่อลุ้นแลกเป็นผู้โชคดีที่ได้ FanSter Date และฟังเพลงอ่อนแอก็แพ้ไป ในแบบอะคูลสติกสดๆ ที่บูธ FanSter ในงาน Cat Foodival 1 กค.นี้   จำกัดจำนวนคนเล่น mission นี้แค่ 500 คนเท่านั้น!   ช้าหมด! ระวังอดได้เป็น 1 ใน 10 คนผู้โชคดีที่ได้ FanSter Date กับ MEAN นะคะ :),ดู MV เพลง อ่อนแอก็แพ้ไป พร้อมตอบคำถาม,100,100,,1494388191860,1,0,0,0,2017-06-26 12:00:00,2017-06-29 12:00:00
1498557652153,ฟังเพลงของ TELEx TELEXs ลุ้นรับสิทธิ์ FanSter Date,ดู MV ของ TELEx TELEXs ทุก MV ใน playlist เพื่อลุ้นมา FanSter date with TELEx TELEXs ที่บูธ FanSter ในงาน Cat Foodival 1 กค.นี้ เวลา 16.00 น.   ด่วน! จำกัดจำนวนคนเล่น Mission นี้แค่ 200 คนเท่านั้น!!,ฟังเพลงของ TELEx TELEXs ครบทุกเพลงลุ้นรับสิทธิ์ FanSter Date,100,100,1495186665305,1494388191860,5,0,0,0,2017-06-27 16:00:00,2017-06-29 12:00:00
1498935570803,แชร์ Moment ฟินๆ ให้แฟนๆ,โหวต Moment ที่ชอบ แล้วไปเลือกคลิปหรือรูปจาก Page FanSter แชร์ พร้อม tag เพื่อนๆ,ชอบ Moment ไหน? โหวดเลย :),300,0,,1494388191860,1,0,0,0,2017-07-02 08:00:00,2017-07-04 23:59:00
1499054367931,Fanster Quiz Daily 6,ทุกวันเที่ยงตรงเข้ามาตอบคำถาม Fanster Quiz Daily,ทุกวันเที่ยงตรงเข้ามาตอบคำถามกัน มีเพียงหนึ่งข้อ ตอบถูกรับเลย 50 coins 50 XPs ใครไวตอบถูกเร็ว10คนแรกรับโบนัสพิเศษ 100 coins 100 XPs ปล: ความยากจะค่อยๆเพิ่มขึ้นตามวันของสัปดาห์ :),50,50,,1494388191860,1,10,100,100,2017-07-03 11:59:00,2017-07-04 11:59:00
1498481977332,ฟังเพลงของ INK และ EARTH ลุ้นรับสิทธิ์ FanSter Date With,ฟังเพลงของ INK และ Earth แล้วตอบคำถามเพื่อรับสิทธิชิงโชค FanSter Date With INK และ EARTH ที่บูธ FanSter ในงาน Cat Footival เวลา 14.30 น. จำนวน 5 ท่าน หรือ ลุ้นรับ ของที่ระลึกจาก INK และ EARTH จำนวน 3 รางวัล,ฟังเพลงของ INK และ Earth แล้วตอบคำถาม  ***MISSION ENDED*** มีผู้เล่นครบจำนวนแล้ว ไว้สนุกกันใหม่ใน Mission หน้านะ,100,100,,1494388191860,1,0,0,0,2017-06-26 20:00:00,2017-07-02 15:00:00
1499412127883,คนขี้แย,ทุกเที่ยงวันมาเล่นกันนะ 10 คนแรกที่ตอบถูกและไว รับโบนัสพิเศษไปเลย 100 coins และ 100 XPs,คนขี้แยเกี่ยวอะไรกับ Quiz กันนะ อยากรู้ต้องเข้ามาเล่น :),50,50,,1494388191860,1,10,100,100,2017-07-09 11:59:00,2017-07-10 11:59:00
1499759487242,ส่องกีต้าร์,ทุกเที่ยงวันมาเล่นกันนะ 10 คนแรกที่ตอบถูกและไว รับโบนัสพิเศษไปเลย 100 coins และ 100 XPs,มาส่องกีต้าร์หาคำตอบกันเถอะ :),50,50,,1494388191860,1,10,100,100,2017-07-12 11:59:00,2017-07-13 11:59:00
1495263809451,Check-in at Central Embassy,ง่ายๆ เพียง check-in ที่ Central Embassy บน app Fanster จำกัดจำนวน 100 ท่านแรกเท่านั้น พิเศษ 10 คนแรกรับ coin และ XP 2 เท่า ทันที,ง่ายๆ เพียง check-in ที่ Central Embassy บน app Fanster จำกัดจำนวน 100 ท่านแรกเท่านั้น พิเศษ 10 คนแรกรับ coin และ XP 2 เท่า ทันที,200,100,,1494693587085,1,10,100,200,2017-06-03 11:00:00,2017-06-30 18:00:00
